from	to
alyssum	bee
pole bean	snail
parsley	swallowtail butterfly
basil	slug
basil	snail
phacelia	hoverfly
fava bean	snail
lavender	hummingbird
garlic	thrip
lentil	slug
yarrow	hoverfly
alyssum	predatory insect
lavender	butterfly
lovage	Ichneumonid wasp
peanut	slug
squash	spider
dill	tomato hornworm
bush bean	slug
fennel	ladybug
dill	hoverfly
cabbage	slug
anise	butterfly
alfalfa	ladybug
alfalfa	slug
lettuce	snail
alfalfa	parasitic wasp
swan plant	monarch butterfly
soybean	snail
chamomile	wasp
yarrow	ladybug
dill	ladybug
cilantro	hoverfly
vetch	slug
sage	honeybee
squash	ground beetle
borage	honeybee
lentil	snail
borage	predatory insect
carrot	parasitic wasp
strawberry	slug
anise	hummingbird
sweet pea	bee
peanut	snail
alfalfa	assassin bug
lavender	bee
bush bean	snail
dill	Ichneumonid wasp
yarrow	predatory wasp
cabbage	snail
crownvetch	slug
pea	slug
hyssop	butterfly
alfalfa	snail
anise	bee
nasturtium	predatory insect
cucumber	ground beetle
asparagus	ladybug
alyssum	minute pirate bug
chive	thrip
leek	thrip
tansy	honeybee
californian poppy	hoverfly
dill	honeybee
tansy	ladybug
alfalfa	big-eyed bug
basil	butterfly
pumpkin	spider
clover	slug
lupin	slug
vetch	snail
fennel	tachinid fly
onion	thrip
strawberry	snail
oregano	hoverfly
lovage	ground beetle
yarrow	damselbug
marigold	slug
alyssum	butterfly
dill	wasp
thyme	hoverfly
alyssum	hoverfly
chamomile	hoverfly
pole bean	slug
caraway	parasitic fly
crownvetch	snail
pea	snail
baby's breath	hoverfly
carrot	lacewing
fennel	hoverfly
hyssop	bee
parsley	wasp
pumpkin	ground beetle
fava bean	slug
lupin	honeybee
sweet pea	butterfly
parsnip	predatory insect
sage	cabbage butterfly
carrot	assassin bug
clover	snail
hyssop	honeybee
lupin	snail
alyssum	parasitic wasp
cilantro	tachinid fly
dill	tiger swallowtail butterfly
lettuce	slug
carrot	yellow jacket
bee balm	bee
caraway	parasitic wasp
soybean	slug
marigold	snail
parsley	fly
