from	to
garlic	japanese beetle
nasturtium	cabbage worm
onion	slug
cilantro	potato beetle
dill	aphid
petunia	japanese beetle
cilantro	aphid
tansy	Ichneumonid wasp
pansy	bee
marigold	cabbage fly
fennel	aphid
tansy	ant
celery	whitefly
basil	mosquito
rosemary	bean beetle
alyssum	aphid
tansy	squash bug
garlic	cabbage maggot
yarrow	aphid
mustard	carrot fly
nasturtium	cabbage looper
oregano	aphid
thyme	whitefly
chive	nematode
nasturtium	squash bug
borage	tomato hornworm
mustard	snail
spearmint	aphid
peppermint	onion fly
carrot	onion fly
pansy	slug
spearmint	cabbage fly
catnip	ant
nasturtium	carrot fly
garlic	slug
chive	spider mite
pansy	white butterfly
pansy	snail
zinnia	whitefly
wormwood	ant
chive	japanese beetle
onion	carrot fly
onion	rabbit
onion	cabbage worm
dill	spider mite
cilantro	whitefly
sage	carrot fly
mustard	cabbage moth
southernwood	mosquito
tansy	mouse
marigold	onion fly
californian poppy	aphid
garlic	fruit borer
nasturtium	aphid
nasturtium	striped pumpkin beetle
geranium	leafhopper
cucumber	raccoon
marigold	beet leaf hopper
basil	tomato hornworm
tansy	colorado potato beetle
mustard	butterfly
Dianthus	slug
geranium	japanese beetle
marigold	cucumber beetle
onion	cabbage looper
garlic	cabbage looper
phacelia	colorado potato beetle
cucumber	ant
thyme	cabbage weevil
sage	cabbage looper
hyssop	cabbage moth
catnip	aphid
thyme	cabbage worm
tansy	cabbage maggot
spearmint	onion fly
tansy	asparagus beetle
tansy	striped cucumber beetle
mustard	aphid
potato	mexican bean beetle
baby's breath	aphid
mustard	wireworm
radish	cucumber beetle
nasturtium	asparagus beetle
mustard	cabbage butterfly
cilantro	spider mite
chive	carrot fly
stinging nettle	aphid
chive	cabbage worm
sunflower	aphid
swan plant	aphid
thyme	cabbage looper
tansy	cabbage butterfly
pansy	aphid
tansy	japanese beetle
tansy	fly
carrot	leek moth
peppermint	cabbage looper
nasturtium	whitefly
pansy	ant
pea	colorado potato beetle
tansy	flea beetle
alfalfa	colorado potato beetle
basil	asparagus beetle
tomato	asparagus beetle
onion	aphid
nasturtium	japanese beetle
bush bean	colorado potato beetle
marigold	root-knot nematode
garlic	ant
hyssop	cabbage butterfly
petunia	leafhopper
petunia	aphid
alfalfa	lygus bug
nasturtium	colorado potato beetle
nasturtium	mexican bean beetle
radish	flea beetle
onion	japanese beetle
sage	bean parasite
lemon grass	bee
sage	cabbage fly
dill	cabbage looper
nasturtium	cucumber beetle
dill	squash bug
basil	fly
marigold	squash bug
chervil	aphid
pansy	butterfly
southernwood	cabbage moth
brassica	wireworm
catnip	flea beetle
sage	black flea beetle
mustard	onion fly
mustard	slug
onion	cabbage maggot
thyme	aphid
tansy	cutworm
garlic	mite
borage	cabbage worm
lemon grass	cutworm
flax	colorado potato beetle
sage	cabbage maggot
peppermint	aphid
chive	mite
petunia	asparagus beetle
peppermint	ant
peppermint	cabbage fly
lemon grass	mosquito
spearmint	ant
tansy	carrot fly
garlic	aphid
anise	aphid
tansy	cabbage worm
garlic	red spider mite
nasturtium	flea beetle
sweet pea	aphid
chive	aphid
basil	thrip
nasturtium	cabbage weevil
