name	scientific_name	type	comment
walnut	Juglans spp.	tree	black walnut is harmful to the growth of all nightshade plants, including *datura* or jimson weed, eggplant, mandrake, deadly nightshade or belladonna, capsicum (paprika, chile pepper), potato, tomato, and petunia.
dead nettle	Lamium	flower	
clover	Trifolium	flower	
european alder	Alnus glutinosa	tree	
pear	Pyrus spp.	fruit	
swan plant	Gomphocarpus physocarpus, Asclepias physocarpa	flower	attracts the monarch butterfly during spring and summer. basil repels pests that attracts by the swan plant like aphids.
hyssop	Hyssopus officinalis	herb	stimulates growth of grapes.
malabar spinach	Basella alba	vegetable	
oregano	Origanum vulgare	herb	provides ground cover and much-needed humidity for pepper plants if allowed to spread among them. because it attracts syrphidae, it reduces aphids through predation.[69]
anise	Pimpinella anisum	herb	not to be confused with star anise which is an entirely different species.
stinging nettle	Urtica dioica	herb	
field mustard	Sinapis arvensis	vegetable	
phacelia	Phacelia tanacetifolia	flower	this plant attracts hoverflies and is good around plants which are prone to aphids.[98]
comfrey	Symphytum	flower	Comfrey contains mixed phytochemicals in varying amounts, including allantoin, mucilage, saponins, tannins, pyrrolizidine alkaloids, and inulin, among others.[6] Pyrrolizidine alkaloids are responsible for comfreys production of hepatotoxicity.[7]Liver toxicity is associated with consuming this plant or its extracts.[6] In modern herbalism, comfrey is most commonly used topically.[6][8][9]
turnip	Brassica rapa and Brassica napobrassica	vegetable	turnips act as a trap crop for broccoli.[35] see peas regarding their mutualism with turnips.
lovage	Levisticum officinale	herb	is thought to improve the health of almost all plants, like borage and geraniums, is considered a "magic bullet" of companion planting
apple	Malus domestica	fruit	
cilantro	Coriandrum sativum	herb	attracts hoverflies which may in turn reduce pest populations in cabbages. [41]
chive	Allium schoenoprasum	herb	same companion traits as all alliums (onions, garlic, shallots, leeks, etc.)said to prevent apple scab after 3 years planting at base of apple trees
pole bean	Phaseolus vulgaris	vegetable	the stalk of the corn provides a pole for the beans to grow on, which then gives nitrogen to the soil of the corn.[20][*circular reference*] as for the radishes, see the entry for "legumes" for more info
lemon balm	Melissa officinalis	herb	
catnip	Nepeta cataria	herb	Some members of this group are known as catnip or catmint because of their effect on house cats – the nepetalactone contained in some Nepeta species binds to the olfactory receptors of cats, typically resulting in temporary euphoria.
strawberry	Fragaria x ananassa	fruit	thyme planted and/or placed next to each other help grow more strawberries quickly.
larkspur	Delphinium spp.	flower	
fava bean	Vicia faba	vegetable	see the entry for "legumes" for more info
raspberry	Rubus idaeus	fruit	
cowpea	Vigna unguiculata	vegetable	
pea	Pisum sativum	vegetable	peas when intercropped with turnips, cauliflower, or garlic showed mutual suppression of growth however their profit per land area used was increased. [47]
broccoli	Brassica oleracea	vegetable	broccoli as a main crop intercropped with lettuce was shown to be more profitable than either crop alone.[33] turnip acts as a trap crop.[35] see brassicas entry for more info
rosemary	Rosmarinus officinalis	herb	deters cabbage flies, repels many bean parasites
lentil	Lens culinaris	vegetable	
asparagus	Asparagus officinalis	vegetable	
sweet potato	Ipomoea batatas	vegetable	okra and sweet potato are mutually beneficial when planted simultaneously.
