from	to
cabbage	strawberry
celery	sunflower
lupin	potato
asparagus	gladiolus
fennel	wheat
brassica	pepper
potato	radish
mint	strawberry
fennel	spurrey
alfalfa	tomato
garlic	lupin
chive	fennel
fennel	okra
cotton	fennel
fennel	hedge mustard
fennel	mint
bay laurel	fennel
lupin	onion
eggplant	fennel
chrysanthemum	fennel
cowpea	passion fruit
brussels sprout	pepper
okra	strawberry
garlic	sage
fennel	lovage
cabbage	mustard
chili pepper	lupin
lentil	tomato
fennel	gladiolus
cabbage	tomato
borage	fennel
chervil	radish
peanut	tomato
daffodil	fennel
carrot	radish
fennel	squash
passion fruit	sweet potato
chive	peanut
fennel	gourd
eggplant	walnut
cabbage	common rue
fennel	sow thistle
fennel	field mustard
onion	pea
fennel	lobelia
fennel	pear
alfalfa	bush bean
geranium	tobacco
aster	fennel
fennel	zucchini
asparagus	fennel
pepper	strawberry
clover	onion
fennel	kohlrabi
alfalfa	leek
fennel	zinnia
fennel	rye-grass
hedge mustard	turnip
fennel	pea
fennel	horseradish
fennel	parsley
sage	tarragon
melon	strawberry
bush bean	sunflower
fennel	snap bean
atriplex	fennel
blueberry	fennel
blackberry	fennel
apple	fennel
fennel	pigweed
fennel	jimson weed
brassica	strawberry
fennel	tarragon
alfalfa	onion
fennel	phacelia
fennel	nasturtium
chive	vetch
fava bean	fennel
broccoli	fennel
strawberry	tomato
alfalfa	fava bean
chervil	fennel
oregano	tarragon
fennel	stinging nettle
fennel	fenugreek
potato	pumpkin
aster	yarrow
crownvetch	onion
beet	fennel
fennel	raspberry
chard	fennel
Cosmos	fennel
pea	pepper
fennel	wormwood
pea	tomato
lentil	onion
Sericea lespedeza	fennel
Angelica archangelica	fennel
chive	crownvetch
fennel	soybean
common rue	sage
black walnut	fennel
onion	peanut
bush bean	onion
fennel	walnut
brassica	mustard
hyssop	radish
fennel	turnip
fennel	marigold
fava bean	pepper
cucumber	sage
brassica	tomato
fennel	pepper
crownvetch	fennel
fennel	passion fruit
beet	mustard
fennel	tobacco
carrot	parsnip
carrot	dill
fennel	rape
potato	sunflower
fennel	rosemary
pepper	pole bean
beet	tomato
tarragon	thyme
cress	fennel
fennel	oregano
asparagus	garlic
dewberry	fennel
barley	fennel
eggplant	strawberry
cauliflower	nasturtium
chrysanthemum	strawberry
pepper	vetch
cauliflower	fennel
garlic	pea
cucumber	fennel
african spider plant	fennel
fennel	kentucky bluegrass
fennel	grape
chive	lentil
brassica	pole bean
onion	vetch
basil	fennel
fennel	lily
garlic	parsley
passion fruit	sorghum
fennel	radish
kohlrabi	pole bean
fennel	thyme
tomato	vetch
bush bean	soybean
fava bean	garlic
dandelion	fennel
soybean	tomato
pole bean	tomato
fennel	garlic
fennel	spearmint
fennel	melon
apple	cedar
alfalfa	gladiolus
gourd	passion fruit
grape	radish
fennel	lettuce
fennel	lemon balm
caraway	fennel
fennel	lemon grass
geranium	tomato
cucumber	passion fruit
celery	fennel
carrot	potato
alyssum	fennel
chili pepper	fennel
gladiolus	pea
chard	leek
garlic	soybean
chive	pole bean
european alder	fennel
fennel	summer savory
crownvetch	garlic
eggplant	geranium
lupin	pepper
pole bean	sunflower
passion fruit	pumpkin
anise	basil
