from	to
petunia	pumpkin
clover	beet
petunia	pepper
bush bean	chard
lily	aster
Dianthus	rose
lovage	rape
lovage	nasturtium
tansy	bush bean
strawberry	blueberry
carrot	passion fruit
leek	carrot
squash	alfalfa
carrot	bush bean
phacelia	pea
marigold	cauliflower
larkspur	crownvetch
lupin	cabbage
rosemary	crownvetch
radish	pumpkin
anise	basil
beet	lettuce
tomato	marigold
squash	bush bean
marigold	bush bean
daffodil	apple
larkspur	soybean
rosemary	soybean
lentil	corn
sage	tomato
flax	potato
peppermint	pole bean
crownvetch	cucumber
garlic	cucumber
nasturtium	pole bean
mustard	fava bean
eggplant	passion fruit
potato	eggplant
eggplant	bush bean
tarragon	chive
soybean	brassica
cauliflower	lupin
lovage	celery
Sericea lespedeza	walnut
mustard	vetch
zinnia	pole bean
parsnip	apple
peanut	celery
lovage	horseradish
lentil	beet
soybean	cabbage
clover	blueberry
clover	broccoli
lovage	cotton
cabbage	pea
pole bean	tomato
vetch	spinach
bush bean	dill
sunflower	tomato
corn	squash
yarrow	beet
cucumber	vetch
lovage	chili pepper
rose	pansy
sunflower	swan plant
lupin	corn
lovage	pepper
mustard	peanut
vetch	dill
lovage	sow thistle
pumpkin	bush bean
peanut	pepper
dewberry	blueberry
thyme	strawberry
bush bean	lettuce
cauliflower	soybean
garlic	carrot
pea	pole bean
lovage	comfrey
lily	gladiolus
yarrow	melon
lupin	beet
phacelia	cabbage
radish	lupin
tansy	pumpkin
garlic	parsnip
tarragon	carrot
bush bean	summer savory
vetch	lettuce
leek	potato
garlic	pear
soybean	corn
african spider plant	chive
celery	cauliflower
carrot	pepper
lovage	leek
chive	grape
celery	bush bean
brassica	sweet pea
corn	alfalfa
marigold	pumpkin
marigold	pepper
tarragon	parsnip
lovage	rye-grass
yarrow	blueberry
lovage	lily
larkspur	lentil
rosemary	lentil
sunflower	cauliflower
crownvetch	strawberry
corn	bush bean
potato	clover
chamomile	onion
vetch	potato
chard	mint
vetch	summer savory
lovage	dewberry
larkspur	fava bean
clover	cilantro
rosemary	fava bean
celery	brassica
petunia	cucumber
pea	chard
cabbage	clover
eggplant	pepper
lettuce	alfalfa
lupin	zucchini
potato	cabbage
tarragon	spinach
soybean	beet
lettuce	passion fruit
bush bean	radish
lettuce	bush bean
stinging nettle	broccoli
lovage	marigold
lovage	lemon grass
mustard	tomato
radish	cucumber
pine	blueberry
leek	apple
lovage	asparagus
brassica	potato
nasturtium	lettuce
radish	crownvetch
peanut	marigold
fava bean	strawberry
lovage	Cosmos
beet	alfalfa
radish	soybean
garlic	vetch
beet	passion fruit
lovage	lupin
lily	leek
barley	brussels sprout
lovage	blackberry
cucumber	tomato
geranium	brassica
spearmint	leek
pea	spinach
borage	gourd
larkspur	peanut
rosemary	peanut
peanut	lupin
leek	tomato
strawberry	onion
lentil	cilantro
catnip	squash
beet	brassica
pole bean	celery
bush bean	pea
pansy	leek
onion	cucumber
lovage	anise
dill	cabbage
pea	dill
onion	crownvetch
cauliflower	lentil
tansy	lupin
cilantro	carrot
sorghum	gourd
vetch	squash
carrot	lupin
chard	celery
tarragon	potato
tarragon	brussels sprout
marigold	lupin
yarrow	pole bean
alfalfa	chard
borage	pea
lily	Cosmos
nasturtium	apple
clover	spinach
tarragon	turnips and rutabaga
Dianthus	foxglove
lovage	crownvetch
zucchini	corn
strawberry	lettuce
lovage	dandelion
lovage	soybean
hyssop	cabbage
pea	lettuce
eggplant	lupin
pole bean	pepper
corn	pumpkin
peanut	crownvetch
sunflower	pepper
lupin	cilantro
lentil	carrot
peanut	soybean
cucumber	bush bean
lovage	chrysanthemum
horseradish	pear
barley	tomato
cabbage	beet
cabbage	thyme
catnip	bush bean
rape	cauliflower
thyme	eggplant
leek	passion fruit
pea	summer savory
nasturtium	squash
tansy	crownvetch
dill	corn
mustard	clover
marigold	cucumber
tansy	soybean
summer savory	lupin
carrot	crownvetch
vetch	cauliflower
chive	pear
spurrey	brassica
squash	crownvetch
borage	alfalfa
carrot	soybean
marigold	crownvetch
garlic	tomato
clover	lettuce
marigold	soybean
lentil	spinach
bush bean	okra
radish	fava bean
soybean	cilantro
alfalfa	dill
onion	pear
crownvetch	eggplant
bush bean	cabbage
vetch	brassica
eggplant	crownvetch
garlic	eggplant
tarragon	tomato
lavender	thyme
lily	chive
sage	lupin
pumpkin	lupin
Dianthus	lavender
eggplant	soybean
sweet pea	alyssum
tarragon	squash
borage	brassica
clover	potato
clover	brussels sprout
parsley	corn
radish	vetch
lupin	carrot
onion	strawberry
lovage	chard
pole bean	marigold
peppermint	alfalfa
lovage	sudan grass
pansy	chive
nasturtium	alfalfa
basil	potato
lovage	chervil
peppermint	bush bean
alfalfa	lettuce
lovage	buckwheat
nasturtium	bush bean
peanut	chard
summer savory	crownvetch
onion	fava bean
fava bean	eggplant
lovage	strawberry
summer savory	soybean
zinnia	alfalfa
lovage	chamomile
peppermint	brassica
radish	peanut
alfalfa	summer savory
lupin	spinach
nasturtium	brassica
zinnia	bush bean
peanut	strawberry
clover	apple
onion	vetch
soybean	carrot
lovage	lentil
pumpkin	crownvetch
lavender	broccoli
lentil	potato
bush bean	corn
yarrow	lettuce
sage	soybean
dill	broccoli
geranium	grape
pumpkin	soybean
tarragon	cauliflower
marigold	pear
peanut	lentil
catnip	pumpkin
tarragon	bush bean
lovage	onion
leek	pepper
lovage	daisy
yarrow	rosemary
cauliflower	pea
thyme	cabbage
lovage	sunflower
chamomile	cabbage
larkspur	clover
rosemary	clover
yarrow	potato
celery	cucumber
lovage	dill
onion	peanut
soybean	spinach
clover	squash
tansy	lentil
bay laurel	blueberry
peanut	sunflower
lovage	kohlrabi
tansy	fava bean
corn	cucumber
horseradish	apple
chive	mustard
bush bean	beet
carrot	lentil
sunflower	cucumber
larkspur	cabbage
rosemary	cabbage
peanut	dill
cilantro	tomato
lovage	dead nettle
carrot	fava bean
potato	pole bean
corn	crownvetch
pea	alfalfa
marigold	lentil
rose	marigold
pea	cauliflower
marjoram	apricot
squash	fava bean
marigold	fava bean
crownvetch	okra
sow thistle	melon
sunflower	soybean
cabbage	pole bean
basil	swan plant
lettuce	cucumber
onion	field mustard
carrot	onion
lovage	baby's breath
lily	rose
eggplant	lentil
lovage	bee balm
sweet pea	rose
radish	tomato
lupin	potato
crownvetch	celery
squash	vetch
eggplant	fava bean
marigold	vetch
garlic	celery
rose	lupin
pea	brassica
lovage	european alder
yarrow	apple
alfalfa	pea
lily	daisy
radish	eggplant
spearmint	onion
lovage	summer savory
pansy	rose
lentil	tomato
beet	cucumber
mustard	lupin
lovage	field mustard
lily	dill
pepper	basil
nasturtium	pumpkin
lovage	valerian
lentil	squash
fava bean	okra
tansy	peanut
chive	tomato
lovage	spearmint
clover	cauliflower
tomato	nasturtium
peanut	summer savory
summer savory	lentil
carrot	peanut
fava bean	cabbage
squash	peanut
marigold	peanut
european alder	walnut
fava bean	celery
chive	eggplant
borage	zucchini
sage	strawberry
soybean	potato
garlic	chili pepper
onion	tomato
cucumber	lupin
garlic	pepper
clover	brassica
chervil	broccoli
summer savory	onion
lovage	garlic
lovage	radish
eggplant	peanut
onion	eggplant
tomato	cabbage
sage	lentil
vetch	grape
blackberry	grape
pumpkin	lentil
tarragon	pumpkin
tarragon	pepper
tomato	celery
pumpkin	fava bean
sorghum	melon
sorghum	zucchini
lettuce	carrot
rosemary	thyme
sweet pea	catnip
crownvetch	walnut
pole bean	strawberry
lavender	lemon balm
mustard	soybean
lupin	squash
lettuce	parsnip
lentil	cauliflower
okra	tomato
lovage	apricot
pea	corn
carrot	garlic
cabbage	dill
lovage	black walnut
chamomile	melon
celery	fava bean
okra	eggplant
alfalfa	okra
lovage	pea
cucumber	crownvetch
yarrow	alfalfa
radish	nasturtium
corn	fava bean
yarrow	cauliflower
cucumber	soybean
alfalfa	cabbage
Dianthus	Echinacea
yarrow	bush bean
peanut	pea
spearmint	garlic
squash	tomato
bush bean	cilantro
radish	clover
pumpkin	peanut
vetch	cucumber
parsley	carrot
corn	vetch
lovage	mint
tansy	apricot
carrot	eggplant
soybean	squash
lettuce	fava bean
lovage	borage
marigold	eggplant
turnip	vetch
carrot	apricot
fava bean	beet
kohlrabi	cucumber
marigold	apricot
vetch	cilantro
oregano	potato
cabbage	rosemary
carrot	pea
lettuce	vetch
lupin	cauliflower
dandelion	pear
cabbage	potato
tomato	leek
corn	peanut
onion	clover
tarragon	lupin
spearmint	pea
southernwood	brassica
beet	vetch
nasturtium	cucumber
lavender	lettuce
peppermint	crownvetch
alfalfa	corn
dill	lettuce
bush bean	carrot
lettuce	peanut
nasturtium	crownvetch
chard	lettuce
spinach	sweet pea
soybean	cauliflower
lovage	clover
lavender	rosemary
pea	grape
bush bean	parsnip
lovage	okra
tomato	asparagus
yarrow	lavender
mint	tomato
mustard	lentil
leek	pear
zinnia	crownvetch
vetch	carrot
summer savory	pea
peanut	clover
lovage	cabbage
lentil	pepper
chive	chili pepper
beet	peanut
peanut	okra
alfalfa	beet
mint	eggplant
chive	pepper
tarragon	cucumber
bush bean	spinach
lovage	tansy
peanut	cabbage
pole bean	radish
squash	nasturtium
tarragon	crownvetch
tansy	clover
lovage	sweet potato
potato	pea
onion	chili pepper
cucumber	lentil
lovage	gladiolus
tarragon	soybean
sage	pea
celery	tomato
carrot	clover
cucumber	fava bean
pumpkin	pea
onion	pepper
larkspur	pole bean
rosemary	pole bean
lovage	phacelia
cabbage	wormwood
clover	grape
marigold	clover
lavender	basil
corn	tomato
phacelia	alfalfa
chard	radish
lovage	larkspur
dill	fennel
spearmint	brassica
cilantro	asparagus
pole bean	eggplant
cucumber	sunflower
phacelia	bush bean
pea	cucumber
brassica	wheat
petunia	asparagus
basil	grape
eggplant	clover
petunia	melon
eggplant	okra
lupin	pumpkin
lupin	pepper
spearmint	cabbage
nasturtium	pear
pea	cilantro
pole bean	pea
lovage	corn
geranium	tomato
parsnip	apricot
okra	pepper
lavender	squash
potato	alfalfa
lentil	marigold
peanut	corn
cucumber	peanut
chervil	lettuce
summer savory	clover
dandelion	apple
lovage	walnut
crownvetch	chard
cilantro	anise
carrot	chili pepper
cabbage	alfalfa
bush bean	potato
lentil	grape
cabbage	cauliflower
clover	cucumber
peppermint	fava bean
lovage	beet
lovage	thyme
potato	brassica
soybean	pepper
nasturtium	fava bean
lily	lavender
parsley	tomato
sweet pea	lavender
yarrow	grape
cauliflower	pole bean
sage	clover
tomato	parsley
peanut	beet
pumpkin	clover
peppermint	vetch
lovage	californian poppy
mustard	radish
pigweed	eggplant
nasturtium	vetch
zinnia	fava bean
fava bean	chard
sage	cabbage
pea	carrot
onion	lupin
strawberry	pear
lovage	melon
lupin	marigold
carrot	leek
chervil	radish
tarragon	lentil
zinnia	vetch
lovage	snap bean
marigold	leek
tarragon	fava bean
lupin	grape
alfalfa	cilantro
thyme	lettuce
peanut	melon
lentil	cucumber
peppermint	peanut
mustard	apricot
crownvetch	dill
beet	bush bean
strawberry	spinach
nasturtium	peanut
pole bean	okra
lavender	brassica
lovage	blueberry
dill	brassica
tarragon	vetch
borage	apple
lovage	broccoli
mustard	pea
pole bean	cabbage
spinach	cauliflower
lovage	sorghum
spinach	passion fruit
chard	brassica
fava bean	spinach
bush bean	squash
tansy	melon
clover	carrot
yarrow	cucumber
mint	chili pepper
catnip	eggplant
zinnia	peanut
yarrow	crownvetch
soybean	marigold
broccoli	lettuce
leek	eggplant
mint	pepper
stinging nettle	sage
marigold	asparagus
marigold	melon
vetch	tomato
radish	pole bean
crownvetch	lettuce
leek	apricot
spinach	brassica
potato	corn
lovage	barley
soybean	grape
onion	soybean
fava bean	dill
borage	tomato
cauliflower	spinach
tomato	rose
pumpkin	corn
hyssop	brassica
tarragon	peanut
lovage	stinging nettle
borage	squash
field mustard	pepper
squash	lupin
oregano	pumpkin
pea	vetch
lovage	malabar spinach
cilantro	chard
crownvetch	summer savory
tomato	onion
lupin	cucumber
alfalfa	carrot
stinging nettle	marjoram
chamomile	basil
